Account,Date,Tweet Text,Compound,Positive,Neutral,Negative
@BBC,2018-03-20 19:48:04+00:00,"This #WorldFrogDay, why not try making an origami jumping frog with @BBCTaster's step-by-step tutorial? 🐸… https://t.co/jjMqUND883",0.0,0.0,1.0,0.0
@BBC,2018-03-20 19:03:04+00:00,"Michael Portillo travels across India guided by Bradshaw's 1913 Handbook of Indian, Foreign and Colonial Travel. 🇮🇳… https://t.co/4WG0esDk8m",0.0,0.0,1.0,0.0
@BBC,2018-03-20 18:33:01+00:00,"Can you watch this without laughing? 😹🔊 You'll want your sound on for this! #InternationalDayOfHappiness

https://t.co/vA5yr0PCC5",-0.3859,0.071,0.768,0.16
@BBC,2018-03-20 17:33:03+00:00,"Professor Stephen Hawking's funeral will take place in Cambridge - ""the city that he loved so much and which loved… https://t.co/LHh0Nfeh6U",0.34,0.16,0.738,0.102
@BBC,2018-03-20 17:03:01+00:00,"Un-bee-lievable! 🐝😍 Meet the woman who kept a bee as a pet. 
https://t.co/5zRxWpSGOH",0.0,0.0,1.0,0.0
@BBC,2018-03-20 16:05:04+00:00,"Arise, Sir Ringo! 🎖🎶@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi",0.0,0.0,1.0,0.0
@BBC,2018-03-20 15:33:03+00:00,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y,0.0,0.0,1.0,0.0
@BBC,2018-03-20 15:03:02+00:00,"'Everybody has a voice'. ❤️️🎶

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL",0.4084,0.132,0.868,0.0
@BBC,2018-03-20 14:24:06+00:00,📸The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB,0.6369,0.259,0.741,0.0
@BBC,2018-03-20 14:03:04+00:00,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. 🍰🍋💍… https://t.co/H7dWlxmYcR,0.0,0.0,1.0,0.0
@BBC,2018-03-20 13:16:25+00:00,"RT @BBCWalesNews: 🎟🎞🍿Cinema makes maths class an offer they can't refuse
Full story: https://t.co/Uwg6NTRFVF https://t.co/hr4dglHIu3",0.2235,0.119,0.881,0.0
@BBC,2018-03-20 13:02:01+00:00,"People always have an opinion. 🙄😂 Here's why @AlanCarr doesn't trust TripAdvisor reviews. #LiveAtTheApollo 

https://t.co/PvF6K9hYMI",-0.4023,0.0,0.838,0.162
@BBC,2018-03-20 11:03:23+00:00,"From a spot of spring cleaning to rolling cheese down a hill... 🕸🧀🌱

Here are nine ways to celebrate spring!… https://t.co/ujBmBsHast",0.6114,0.182,0.818,0.0
